id,abbreviation,full_name,elr,lor,mileage_from_ch,mileage_to_ch,source_doc,source_page,loaded_at
31064,3,Up Brighton Fast,ATL,SO645,587.0,595.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",561,2026-04-28T02:37:38.721601
31065,4,Down Brighton Fast,ATL,SO645,587.0,595.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",561,2026-04-28T02:37:38.721601
31066,5,Up Brighton Slow,ATL,SO645,587.0,595.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",561,2026-04-28T02:37:38.721601
31067,6,Down Brighton Slow,ATL,SO645,587.0,595.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",561,2026-04-28T02:37:38.721601
31068,1,Up Atlantic,ATL,SO645,519.0,547.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",562,2026-04-28T02:37:38.803002
31069,2,Down Atlantic,ATL,SO645,519.0,547.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",562,2026-04-28T02:37:38.803002
31070,3,Up Stewarts Lane,ATL,SO645,519.0,547.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",562,2026-04-28T02:37:38.803002
31071,4,Down Stewarts Lane,ATL,SO645,519.0,547.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",562,2026-04-28T02:37:38.803002
31072,7,Down Chatham Main,ATL,SO645,519.0,547.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",562,2026-04-28T02:37:38.803002
31073,8,Down Ludgate,ATL,SO645,519.0,547.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",562,2026-04-28T02:37:38.803002
31074,9,Up Ludgate,ATL,SO645,519.0,547.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",562,2026-04-28T02:37:38.803002
31075,3,Up Up Chatham Main,VIR,SO645,448.0,501.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",563,2026-04-28T02:37:38.879204
31076,4,Down Chatham Main,VIR,SO645,448.0,501.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",563,2026-04-28T02:37:38.879204
31077,5,Up Galford Loop,VIR,SO645,448.0,501.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",563,2026-04-28T02:37:38.879204
31078,6,Down Galford Loop,VIR,SO645,448.0,501.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",563,2026-04-28T02:37:38.879204
31079,1,Up Atlantic,ATL,SO645,334.0,352.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",564,2026-04-28T02:37:38.959355
31080,2,Down Atlantic,ATL,SO645,334.0,352.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",564,2026-04-28T02:37:38.959355
31081,5,Down Brixton Spur,ATL,SO645,334.0,352.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",564,2026-04-28T02:37:38.959355
31082,6,Up Brixton Spur,ATL,SO645,334.0,352.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",564,2026-04-28T02:37:38.959355
31083,7,Up Cambria Spur,ATL,SO645,334.0,352.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",564,2026-04-28T02:37:38.959355
31084,8,Down Cambria Spur,ATL,SO645,334.0,352.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",564,2026-04-28T02:37:38.959355
31085,Note,Lines 5,CAT,SO645,276.0,287.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",565,2026-04-28T02:37:39.030851
31086,1,Up Atlantic,CAT,SO645,276.0,287.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",565,2026-04-28T02:37:39.030851
31087,2,Down Atlantic,CAT,SO645,276.0,287.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",565,2026-04-28T02:37:39.030851
31088,3,Up Catford Loop,CAT,SO645,276.0,287.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",565,2026-04-28T02:37:39.030851
31089,4,Down Catford Loop,CAT,SO645,276.0,287.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",565,2026-04-28T02:37:39.030851
31090,5,Up Portsmouth,CAT,SO645,276.0,287.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",565,2026-04-28T02:37:39.030851
31091,6,Down Portsmouth,CAT,SO645,276.0,287.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",565,2026-04-28T02:37:39.030851
31092,7,Up South London,CAT,SO645,276.0,287.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",565,2026-04-28T02:37:39.030851
31093,8,Down South London,CAT,SO645,276.0,287.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",565,2026-04-28T02:37:39.030851
31094,1,Up Crystal Palace,BBJ,SO650,396.0,457.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",566,2026-04-28T02:37:39.123095
31095,2,Down Crystal Palace,BBJ,SO650,396.0,457.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",566,2026-04-28T02:37:39.123095
31096,1,Up Crystal Palace,WTH,SO650,480.0,562.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",567,2026-04-28T02:37:39.158969
31097,2,Down Crystal Palace,WTH,SO650,480.0,562.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",567,2026-04-28T02:37:39.158969
31098,3,Down Leigham Spur,WTH,SO650,480.0,562.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",567,2026-04-28T02:37:39.158969
31099,4,Up Leigham Spur,WTH,SO650,480.0,562.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",567,2026-04-28T02:37:39.158969
31100,5,Up West Norwood Spur,WTH,SO650,480.0,562.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",567,2026-04-28T02:37:39.158969
31101,6,Down West Norwood Spur,WTH,SO650,480.0,562.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",567,2026-04-28T02:37:39.158969
31102,1,Up Crystal Palace,SCP,SO650,590.0,696.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",568,2026-04-28T02:37:39.236537
31103,2,Down Crystal Palace,SCP,SO650,590.0,696.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",568,2026-04-28T02:37:39.236537
31104,3,Down Sydenham Spur,SCP,SO650,590.0,696.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",568,2026-04-28T02:37:39.236537
31105,4,Up Sydenham Spur,SCP,SO650,590.0,696.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",568,2026-04-28T02:37:39.236537
31106,1,Up Crystal Palace,SCP,SO650,756.0,826.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",569,2026-04-28T02:37:39.310416
31107,2,Down Crystal Palace,SCP,SO650,756.0,826.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",569,2026-04-28T02:37:39.310416
31108,3,Up Crystal Palace Spur,SCP,SO650,756.0,826.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",569,2026-04-28T02:37:39.310416
31109,4,Down Crystal Palace Spur,SCP,SO650,756.0,826.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",569,2026-04-28T02:37:39.310416
31110,1,Up Caterham,PAT,SO660,1223.0,1590.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",570,2026-04-28T02:37:39.386206
31111,2,Down Caterham,PAT,SO660,1223.0,1590.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",570,2026-04-28T02:37:39.386206
31112,3,Up Tattenham,PAT,SO660,1223.0,1590.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",570,2026-04-28T02:37:39.386206
31113,4,Down Tattenham,PAT,SO660,1223.0,1590.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",570,2026-04-28T02:37:39.386206
31114,1,Up Tattenham,TAT,SO660,1213.0,1400.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",571,2026-04-28T02:37:39.452858
31115,2,Down Tattenham,TAT,SO660,1213.0,1400.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",571,2026-04-28T02:37:39.452858
31116,1,Up Tattenham,TAT,SO660,1467.0,1730.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",572,2026-04-28T02:37:39.527089
31117,2,Down Tattenham,TAT,SO660,1467.0,1730.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",572,2026-04-28T02:37:39.527089
31118,1,Up Tattenham,TAT,SO660,1741.0,1877.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",573,2026-04-28T02:37:39.596053
31119,2,Down Tattenham,TAT,SO660,1741.0,1877.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",573,2026-04-28T02:37:39.596053
31120,1,Up Portsmouth,BTH1,SO680,142.0,289.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",574,2026-04-28T02:37:39.691227
31121,2,Down Portsmouth,BTH1,SO680,142.0,289.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",574,2026-04-28T02:37:39.691227
31122,3,Down Atlantic,BTH1,SO680,142.0,289.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",574,2026-04-28T02:37:39.691227
31123,4,Up Atlantic,BTH1,SO680,142.0,289.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",574,2026-04-28T02:37:39.691227
31124,5,Up South London,BTH1,SO680,142.0,289.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",574,2026-04-28T02:37:39.691227
31125,8,Down Silwood,BTH1,SO680,142.0,289.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",574,2026-04-28T02:37:39.691227
31126,1,Up Portsmouth,HHT,SO680,343.0,505.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",575,2026-04-28T02:37:39.775965
31127,2,Down Portsmouth,HHT,SO680,343.0,505.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",575,2026-04-28T02:37:39.775965
31128,3,Down Holborn,HHT,SO680,343.0,505.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",575,2026-04-28T02:37:39.775965
31129,4,Up Holborn,HHT,SO680,343.0,505.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",575,2026-04-28T02:37:39.775965
31130,5,Down Leigham Spur,HHT,SO680,343.0,505.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",575,2026-04-28T02:37:39.775965
31131,6,Up Leigham Spur,HHT,SO680,343.0,505.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",575,2026-04-28T02:37:39.775965
31132,7,Up West Norwood Spur,HHT,SO680,343.0,505.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",575,2026-04-28T02:37:39.775965
31133,8,Down West Norwood Spur,HHT,SO680,343.0,505.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",575,2026-04-28T02:37:39.775965
31134,3,Down Streatham Spur,SMS1,SO680,542.0,651.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",576,2026-04-28T02:37:39.854908
31135,4,Up Streatham Spur,SMS1,SO680,542.0,651.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",576,2026-04-28T02:37:39.854908
31136,5,Down Slow Spur,SMS1,SO680,542.0,651.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",576,2026-04-28T02:37:39.854908
31137,6,Up Slow Spur,SMS1,SO680,542.0,651.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",576,2026-04-28T02:37:39.854908
31138,7,Fast Spur,SMS1,SO680,542.0,651.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",576,2026-04-28T02:37:39.854908
31139,8,Up St Helier,SMS1,SO680,542.0,651.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",576,2026-04-28T02:37:39.854908
31140,9,Down St Helier,SMS1,SO680,542.0,651.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",576,2026-04-28T02:37:39.854908
31141,1,Up Portsmouth,BTH1,SO680,739.0,990.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",577,2026-04-28T02:37:39.928745
31142,2,Down Portsmouth,BTH1,SO680,739.0,990.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",577,2026-04-28T02:37:39.928745
31143,1,Up Portsmouth,NFE,SO680,1085.0,1387.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",578,2026-04-28T02:37:40.012251
31144,2,Down Portsmouth,NFE,SO680,1085.0,1387.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",578,2026-04-28T02:37:40.012251
31145,6,Down Wallington,NFE,SO680,1085.0,1387.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",578,2026-04-28T02:37:40.012251
31146,1,Up Portsmouth,RPE,SO680,1513.0,1523.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",579,2026-04-28T02:37:40.084886
31147,2,Down Portsmouth,RPE,SO680,1513.0,1523.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",579,2026-04-28T02:37:40.084886
31148,3,Down Epsom,RPE,SO680,1513.0,1523.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",579,2026-04-28T02:37:40.084886
31149,4,Up Epsom,RPE,SO680,1513.0,1523.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",579,2026-04-28T02:37:40.084886
31150,1,Up Portsmouth,LEJ,SO680,1242.0,1575.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",580,2026-04-28T02:37:40.169872
31151,2,Down Portsmouth,LEJ,SO680,1242.0,1575.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",580,2026-04-28T02:37:40.169872
31152,3,Up Beckham,LEJ,SO680,1242.0,1575.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",580,2026-04-28T02:37:40.169872
31153,4,Down Beckham,LEJ,SO680,1242.0,1575.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",580,2026-04-28T02:37:40.169872
31154,1,Up Main,BTH3,SO680,1609.0,1768.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",581,2026-04-28T02:37:40.196392
31155,2,Down Main,BTH3,SO680,1609.0,1768.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",581,2026-04-28T02:37:40.196392
31156,1,Up,BTH3,SO680,1820.0,2695.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",582,2026-04-28T02:37:40.275770
31157,2,Down,BTH3,SO680,1820.0,2695.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",582,2026-04-28T02:37:40.275770
31158,1,Up St. Helier,SMS1,SO700,76.0,178.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",585,2026-04-28T02:37:40.423138
31159,2,Down St. Helier,SMS1,SO700,76.0,178.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",585,2026-04-28T02:37:40.423138
31160,1,Down slow (South West Line),SMS2,SO700,247.0,626.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",586,2026-04-28T02:37:40.446534
31161,2,Up St Helier,SMS2,SO700,247.0,626.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",586,2026-04-28T02:37:40.446534
31162,3,Down St Helier,SMS2,SO700,247.0,626.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",586,2026-04-28T02:37:40.446534
31163,1,Up St Helier,SMS2,SO700,653.0,752.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",587,2026-04-28T02:37:40.512742
31164,2,Down St Helier,SMS2,SO700,653.0,752.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",587,2026-04-28T02:37:40.512742
31165,1,Up St Helier,SMS2,SO700,789.0,927.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",588,2026-04-28T02:37:40.584146
31166,2,Down St Helier,SMS2,SO700,789.0,927.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",588,2026-04-28T02:37:40.584146
31167,1,Windsor Reversible,BML1,SW100,0.0,29.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",663,2026-04-28T02:37:50.489877
31168,2,Up Windsor,BML1,SW100,0.0,29.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",663,2026-04-28T02:37:50.489877
31169,3,Down Windsor,BML1,SW100,0.0,29.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",663,2026-04-28T02:37:50.489877
31170,4,Up Main Relief,BML1,SW100,0.0,29.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",663,2026-04-28T02:37:50.489877
31171,5,Up Main Fast,BML1,SW100,0.0,29.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",663,2026-04-28T02:37:50.489877
31172,6,Down Main Fast,BML1,SW100,0.0,29.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",663,2026-04-28T02:37:50.489877
31173,7,Up Main Slow,BML1,SW100,0.0,29.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",663,2026-04-28T02:37:50.489877
31174,8,Down Main Slow,BML1,SW100,0.0,29.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",663,2026-04-28T02:37:50.489877
31175,9,Windsor Relief Line 2,BML1,SW100,0.0,29.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",663,2026-04-28T02:37:50.489877
31176,10,Windsor Relief Line 1,BML1,SW100,0.0,29.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",663,2026-04-28T02:37:50.489877
31177,1,Windsor Reversible,BML,SW100,40.0,42.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",664,2026-04-28T02:37:50.523038
31178,2,Up Windsor,BML,SW100,40.0,42.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",664,2026-04-28T02:37:50.523038
31179,3,Down Windsor,BML,SW100,40.0,42.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",664,2026-04-28T02:37:50.523038
31180,4,Up Main Relief,BML,SW100,40.0,42.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",664,2026-04-28T02:37:50.523038
31181,5,Up Main Fast,BML,SW100,40.0,42.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",664,2026-04-28T02:37:50.523038
31182,6,Down Main Fast,BML,SW100,40.0,42.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",664,2026-04-28T02:37:50.523038
31183,7,Up Main Slow,BML,SW100,40.0,42.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",664,2026-04-28T02:37:50.523038
31184,8,Down Main Slow,BML,SW100,40.0,42.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",664,2026-04-28T02:37:50.523038
31185,9,Windsor Relief Line 2,BML,SW100,40.0,42.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",664,2026-04-28T02:37:50.523038
31186,10,Windsor Relief Line 1,BML,SW100,40.0,42.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",664,2026-04-28T02:37:50.523038
31187,9,Windsor Reversible,BML,SW100,40.0,42.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",664,2026-04-28T02:37:50.523038
31188,10,Up Windsor,BML,SW100,40.0,42.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",664,2026-04-28T02:37:50.523038
31189,11,Down Windsor Fast,BML,SW100,40.0,42.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",664,2026-04-28T02:37:50.523038
31190,12,Down Windsor Slow,BML,SW100,40.0,42.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",664,2026-04-28T02:37:50.523038
31191,13,Up Main Fast,BML,SW100,40.0,42.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",664,2026-04-28T02:37:50.523038
31192,14,Down Main Fast,BML,SW100,40.0,42.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",664,2026-04-28T02:37:50.523038
31193,15,Up Main Slow,BML,SW100,40.0,42.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",664,2026-04-28T02:37:50.523038
31194,16,Down Main Slow,BML,SW100,40.0,42.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",664,2026-04-28T02:37:50.523038
31195,1,Windsor Reversible,BML,SW100,109.0,109.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",665,2026-04-28T02:37:50.597472
31196,2,Up Windsor,BML,SW100,109.0,109.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",665,2026-04-28T02:37:50.597472
31197,3,Down Windsor Fast,BML,SW100,109.0,109.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",665,2026-04-28T02:37:50.597472
31198,4,Down Windsor Slow,BML,SW100,109.0,109.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",665,2026-04-28T02:37:50.597472
31199,5,Up Main Fast,BML,SW100,109.0,109.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",665,2026-04-28T02:37:50.597472
31200,6,Down Main Fast,BML,SW100,109.0,109.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",665,2026-04-28T02:37:50.597472
31201,7,Up Main Slow,BML,SW100,109.0,109.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",665,2026-04-28T02:37:50.597472
31202,8,Down Main Slow,BML,SW100,109.0,109.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",665,2026-04-28T02:37:50.597472
31203,1,Windsor Reversible,AHG,SW100,158.0,158.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",666,2026-04-28T02:37:50.672595
31204,2,Up Windsor,AHG,SW100,158.0,158.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",666,2026-04-28T02:37:50.672595
31205,3,Down Windsor Fast,AHG,SW100,158.0,158.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",666,2026-04-28T02:37:50.672595
31206,4,Down Windsor Slow,AHG,SW100,158.0,158.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",666,2026-04-28T02:37:50.672595
31207,5,Up Main Fast,AHG,SW100,158.0,158.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",666,2026-04-28T02:37:50.672595
31208,6,Down Main Fast,AHG,SW100,158.0,158.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",666,2026-04-28T02:37:50.672595
31209,7,Up Main Slow,AHG,SW100,158.0,158.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",666,2026-04-28T02:37:50.672595
31210,8,Down Main Slow,AHG,SW100,158.0,158.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",666,2026-04-28T02:37:50.672595
31211,9,Windsor Reversible,AHG,SW100,158.0,158.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",666,2026-04-28T02:37:50.672595
31212,10,Up Windsor,AHG,SW100,158.0,158.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",666,2026-04-28T02:37:50.672595
31213,11,Down Windsor,AHG,SW100,158.0,158.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",666,2026-04-28T02:37:50.672595
31214,12,Up Main Fast,AHG,SW100,158.0,158.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",666,2026-04-28T02:37:50.672595
31215,13,Down Main Fast,AHG,SW100,158.0,158.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",666,2026-04-28T02:37:50.672595
31216,14,Up Main Slow,AHG,SW100,158.0,158.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",666,2026-04-28T02:37:50.672595
31217,15,Down Main Slow,AHG,SW100,158.0,158.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",666,2026-04-28T02:37:50.672595
31218,1,Windsor Reversible,BML,SW100,208.0,257.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",667,2026-04-28T02:37:50.756437
31219,2,Up Windsor,BML,SW100,208.0,257.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",667,2026-04-28T02:37:50.756437
31220,3,Down Windsor,BML,SW100,208.0,257.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",667,2026-04-28T02:37:50.756437
31221,6,Up Main Slow,BML,SW100,208.0,257.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",667,2026-04-28T02:37:50.756437
31222,7,Down Main Slow,BML,SW100,208.0,257.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",667,2026-04-28T02:37:50.756437
31223,8,Up Windsor Slow,BML,SW100,208.0,257.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",667,2026-04-28T02:37:50.756437
31224,9,Up Windsor Fast,BML,SW100,208.0,257.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",667,2026-04-28T02:37:50.756437
31225,10,Down Windsor Fast,BML,SW100,208.0,257.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",667,2026-04-28T02:37:50.756437
31226,11,Down Windsor Slow,BML,SW100,208.0,257.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",667,2026-04-28T02:37:50.756437
31227,12,Up Main Fast,BML,SW100,208.0,257.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",667,2026-04-28T02:37:50.756437
31228,13,Down Main Fast,BML,SW100,208.0,257.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",667,2026-04-28T02:37:50.756437
31229,14,Up Main Slow,BML,SW100,208.0,257.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",667,2026-04-28T02:37:50.756437
31230,15,Down Main Slow,BML,SW100,208.0,257.0,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",667,2026-04-28T02:37:50.756437
31231,1,Up Windsor Slow,BML,SW100,,,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",668,2026-04-28T02:37:50.827622
31232,2,Up Windsor Fast,BML,SW100,,,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",668,2026-04-28T02:37:50.827622
31233,3,Down Windsor Fast,BML,SW100,,,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",668,2026-04-28T02:37:50.827622
31234,4,Down Windsor Slow,BML,SW100,,,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",668,2026-04-28T02:37:50.827622
31235,5,Up Main Fast,BML,SW100,,,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",668,2026-04-28T02:37:50.827622
31236,6,Down Main Fast,BML,SW100,,,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",668,2026-04-28T02:37:50.827622
31237,7,Up Main Slow,BML,SW100,,,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",668,2026-04-28T02:37:50.827622
31238,8,Down Main Slow,BML,SW100,,,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",668,2026-04-28T02:37:50.827622
31239,9,Up Ludgate,BML,SW100,,,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",668,2026-04-28T02:37:50.827622
31240,10,Down Ludgate,BML,SW100,,,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",668,2026-04-28T02:37:50.827622
