id,abbreviation,full_name,elr,lor,mileage_from_ch,mileage_to_ch,source_doc,source_page,loaded_at
29850,UC,Up Bacon Factory Curve,BFC,EA1012,5637.0,6330.0,Anglia - March 2026 Sectional Appendix.pdf,145,2026-04-28T02:36:00.339839
29851,UM,Up Main,BFC,EA1012,5637.0,6330.0,Anglia - March 2026 Sectional Appendix.pdf,145,2026-04-28T02:36:00.339839
29852,OM,Down Main,BFC,EA1012,5637.0,6330.0,Anglia - March 2026 Sectional Appendix.pdf,145,2026-04-28T02:36:00.339839
29853,UT,Up Thetford,LTN1,EA1013,9108.0,9877.0,Anglia - March 2026 Sectional Appendix.pdf,151,2026-04-28T02:36:00.886727
29854,DT,Down Thetford,LTN1,EA1013,9108.0,9877.0,Anglia - March 2026 Sectional Appendix.pdf,151,2026-04-28T02:36:00.886727
29855,UTPL,Up Trowse Passenger Loop,LTN1,EA1013,9108.0,9877.0,Anglia - March 2026 Sectional Appendix.pdf,151,2026-04-28T02:36:00.886727
29856,LC,Line C,LTN1,EA1013,9108.0,9877.0,Anglia - March 2026 Sectional Appendix.pdf,151,2026-04-28T02:36:00.886727
29857,LO,Line D,LTN1,EA1013,9108.0,9877.0,Anglia - March 2026 Sectional Appendix.pdf,151,2026-04-28T02:36:00.886727
29858,LG,Line C,THG,EA1013,9900.0,9929.0,Anglia - March 2026 Sectional Appendix.pdf,152,2026-04-28T02:36:00.987187
29859,LO,Line D,THG,EA1013,9900.0,9929.0,Anglia - March 2026 Sectional Appendix.pdf,152,2026-04-28T02:36:00.987187
29860,LE,Line E,THG,EA1013,9900.0,9929.0,Anglia - March 2026 Sectional Appendix.pdf,152,2026-04-28T02:36:00.987187
29861,LW,Line W,THG,EA1013,9900.0,9929.0,Anglia - March 2026 Sectional Appendix.pdf,152,2026-04-28T02:36:00.987187
29862,USD,Up Southend,LTN1,EA1050,1616.0,1933.0,Anglia - March 2026 Sectional Appendix.pdf,156,2026-04-28T02:36:01.165545
29863,DSD,Down Southend,LTN1,EA1050,1616.0,1933.0,Anglia - March 2026 Sectional Appendix.pdf,156,2026-04-28T02:36:01.165545
29864,USD,Up Southend,WIS,EA1050,2322.0,2333.0,Anglia - March 2026 Sectional Appendix.pdf,157,2026-04-28T02:36:01.228564
29865,DSD,Down Southend,WIS,EA1050,2322.0,2333.0,Anglia - March 2026 Sectional Appendix.pdf,157,2026-04-28T02:36:01.228564
29866,USD,Up Southend,SSV,EA1050,2639.0,3094.0,Anglia - March 2026 Sectional Appendix.pdf,158,2026-04-28T02:36:01.358121
29867,DSD,Down Southend,SSV,EA1050,2639.0,3094.0,Anglia - March 2026 Sectional Appendix.pdf,158,2026-04-28T02:36:01.358121
29868,USO,Up Soulhend,SSV,EA1060,2333.0,2797.0,Anglia - March 2026 Sectional Appendix.pdf,160,2026-04-28T02:36:01.541884
29869,DSD,Down Southend,SSV,EA1060,2333.0,2797.0,Anglia - March 2026 Sectional Appendix.pdf,160,2026-04-28T02:36:01.541884
29870,DS,Up & Down Soulhminster,SSV,EA1060,2333.0,2797.0,Anglia - March 2026 Sectional Appendix.pdf,160,2026-04-28T02:36:01.541884
29871,DS,UP & DOWN SOUTHMINSTER,WIS,EA1060,3147.0,3642.0,Anglia - March 2026 Sectional Appendix.pdf,162,2026-04-28T02:36:01.748756
29872,UM,Up Main,LTN1,EA1070,1690.0,1935.0,Anglia - March 2026 Sectional Appendix.pdf,163,2026-04-28T02:36:01.853455
29873,OM,Down Main,LTN1,EA1070,1690.0,1935.0,Anglia - March 2026 Sectional Appendix.pdf,163,2026-04-28T02:36:01.853455
29874,DB,Up & Down Braintree,BRA,EA1070,1431.0,1600.0,Anglia - March 2026 Sectional Appendix.pdf,164,2026-04-28T02:36:01.965045
29875,EARM,East Anglia Railway Musuem,LTN1,EA1080,3733.0,4221.0,Anglia - March 2026 Sectional Appendix.pdf,165,2026-04-28T02:36:02.001474
29876,UDC,Up and Down Clacton,LTN1,EA1090,4225.0,4254.0,Anglia - March 2026 Sectional Appendix.pdf,168,2026-04-28T02:36:02.227739
29877,LIDA,Up and Down Avoiding line,LTN1,EA1090,4225.0,4254.0,Anglia - March 2026 Sectional Appendix.pdf,168,2026-04-28T02:36:02.227739
29878,UC,Up Clacton,LTN1,EA1090,4225.0,4254.0,Anglia - March 2026 Sectional Appendix.pdf,168,2026-04-28T02:36:02.227739
29879,UM,Up Main,LTN1,EA1090,4225.0,4254.0,Anglia - March 2026 Sectional Appendix.pdf,168,2026-04-28T02:36:02.227739
29880,DM,Down Main,LTN1,EA1090,4225.0,4254.0,Anglia - March 2026 Sectional Appendix.pdf,168,2026-04-28T02:36:02.227739
29881,UC,Up Clacton,CTH,EA1090,4276.0,4425.0,Anglia - March 2026 Sectional Appendix.pdf,169,2026-04-28T02:36:02.359695
29882,UHC,Up Hythe Curve,CTH,EA1090,4276.0,4425.0,Anglia - March 2026 Sectional Appendix.pdf,169,2026-04-28T02:36:02.359695
29883,DHC,Down Hythe Curve,CTH,EA1090,4276.0,4425.0,Anglia - March 2026 Sectional Appendix.pdf,169,2026-04-28T02:36:02.359695
29884,UC,Up Clacton,COG,EA1090,4480.0,4761.0,Anglia - March 2026 Sectional Appendix.pdf,170,2026-04-28T02:36:02.470282
29885,UC,Up Clacton,COG,EA1090,4794.0,5065.0,Anglia - March 2026 Sectional Appendix.pdf,171,2026-04-28T02:36:02.551009
29886,UC,Up Clacton,TWN,EA1090,5174.0,5219.0,Anglia - March 2026 Sectional Appendix.pdf,172,2026-04-28T02:36:02.623126
29887,DHC,Down Hythe Curve,COC,EA1100,22.0,4316.0,Anglia - March 2026 Sectional Appendix.pdf,174,2026-04-28T02:36:02.715710
29888,UHC,Up Hythe Curve,COC,EA1100,22.0,4316.0,Anglia - March 2026 Sectional Appendix.pdf,174,2026-04-28T02:36:02.715710
29889,DCT,Down Colchester Town,COC,EA1100,22.0,4316.0,Anglia - March 2026 Sectional Appendix.pdf,174,2026-04-28T02:36:02.715710
29890,UCT,Up Colchester Town,COC,EA1100,22.0,4316.0,Anglia - March 2026 Sectional Appendix.pdf,174,2026-04-28T02:36:02.715710
29891,DW,Down Walton,COC,EA1110,5219.0,5416.0,Anglia - March 2026 Sectional Appendix.pdf,175,2026-04-28T02:36:02.797826
29892,UW,UpWalton,COC,EA1110,5219.0,5416.0,Anglia - March 2026 Sectional Appendix.pdf,175,2026-04-28T02:36:02.797826
29893,UH,Up Harwich,LTN1,EA1120,0.0,4787.0,Anglia - March 2026 Sectional Appendix.pdf,177,2026-04-28T02:36:03.231431
29894,OH,Down Harwich,MAH,,4890.0,4894.0,Anglia - March 2026 Sectional Appendix.pdf,178,2026-04-28T02:36:03.297567
