elr,mileage_raw,mileage_ch,mileage_decimal,type,name,easting,northing,latitude,longitude
CGJ5,21.0850,21m 39ch,21.085,Authorised Access Point '-' Pedestrian,PRESTON STATION PLATFORM 4 SOUTH RAMP,353492.0,428800.0,53.75327,-2.70542
CGJ5,21.0980,21m 45ch,21.098,Authorised Access Point '-' Vehicle,"ROYAL MAIL DEPOT, CHRISTIAN ROAD, PRESTON",353370.0,429086.0,53.75583,-2.70731
CGJ5,21.1068,21m 49ch,21.1068,Authorised Access Point '-' Vehicle,PRESTON STATION BUTLER STREET DEPOT,353524.0,428867.0,53.75387,-2.70494
CGJ5,21.1104,21m 50ch,21.1104,Authorised Access Point '-' Pedestrian,PRESTON STATION PLATFORM 6 SOUTH RAMP,353504.0,428802.0,53.75329,-2.70524
CGJ6,0.0066,0m 03ch,0.0066,Authorised Access Point '-' Vehicle,CHRISTIAN ROAD,353369.0,429086.0,53.75583,-2.70733
CGJ6,0.0191,0m 09ch,0.0191,Authorised Access Point '-' Pedestrian,PRESTON STN PLATFORM 1 NORTH RAMP,353426.0,429150.0,53.75641,-2.70647
CGJ6,0.0191,0m 09ch,0.0191,Authorised Access Point '-' Pedestrian,PRESTON STN PLATFORM 2 NORTH RAMP,353431.0,429149.0,53.7564,-2.7064
CGJ6,0.0191,0m 09ch,0.0191,Authorised Access Point '-' Pedestrian,PRESTON STATION PLATFORM 7 NORTH RAMP,353495.0,429164.0,53.75654,-2.70543
CGJ6,0.0236,0m 11ch,0.0236,Authorised Access Point '-' Pedestrian,PRESTON STATION PLATFORM 3 NORTH RAMP,353439.0,429161.0,53.75651,-2.70628
CGJ6,0.0236,0m 11ch,0.0236,Authorised Access Point '-' Pedestrian,PRESTON STATION PLATFORM 4 NORTH RAMP,353466.0,429189.0,53.75676,-2.70587
CGJ6,0.0261,0m 12ch,0.0261,Authorised Access Point '-' Pedestrian,PRESTON STN DERBY SIDING PLATFORM RAMP,353395.0,429298.0,53.75773,-2.70696
CGJ6,0.0276,0m 13ch,0.0276,Authorised Access Point '-' Pedestrian,PRESTON STATION PLATFORM 5 NORTH RAMP,353474.0,429195.0,53.75682,-2.70575
CGJ6,0.0276,0m 13ch,0.0276,Authorised Access Point '-' Pedestrian,PRESTON STATION PLATFORM 6 NORTH RAMP,353479.0,429194.0,53.75681,-2.70567
CGJ6,0.0286,0m 13ch,0.0286,Authorised Access Point '-' Vehicle,DOCK STREET SIDINGS,353558.0,429348.0,53.7582,-2.7045
CGJ6,0.1034,0m 47ch,0.1034,Authorised Access Point '-' Vehicle,PEDDAR STREET BRIDGE No.13,352940.0,429841.0,53.76257,-2.71395
CGJ6,0.1637,0m 74ch,0.1637,Authorised Access Point '-' Pedestrian,AQUEDUCT STREET BRIDGE No.18,352901.0,430311.0,53.7668,-2.71461
