page,elrs,lor,line_of_route_description,n_lines,duplicate_rows,abbreviations,problem
535,"CMP2, LMD1, LMD2, LMD3, LMD4",NW5001,Crewe North Jn to Manchester Piccadilly,16,64,"ARR, CMP2, DEP, DEP/REC, LMD1, LMD2, LMD3, LMD4, LMD5, LMD6, LMD8, NOTE, OF, U&DG, UF, WPL",junk entries - parsing artifacts
543,"NBS, NBS1",NW5008,Norton Bridge to Stone Jn,3,3,"DNB, NBEC, UNB",multi-ELR duplication - needs diagram review
544,"NBS, NBS1",NW5008,Norton Bridge to Stone Jn,4,4,"DNB, P1, P2, UNB",multi-ELR duplication - needs diagram review
552,"CMD1, CMD2",NW5009,Colwich Jn to Cheadle Hulme,6,6,"DM, P1, P2, P3, P4, UM",multi-ELR duplication - needs diagram review
555,"CMD1, MCH",NW5009,Colwich Jn to Cheadle Hulme,7,7,"MD6001, MD6002, OSI, P1, P2, P3, USt",multi-ELR duplication - needs diagram review
560,"SCQ1, SCQ2, SCQ3",NW5010,Glebe Street Jn to Caldon Quarry,2,4,"U&DB, U&DC",lines genuinely span both ELRs - no fix needed
566,"AMJ, DJO1, DJO2",NW5013,Denton Jn to Ashton Moss North Jn,2,4,"Fold, NOTE",junk entries - parsing artifacts
569,"GBN, GBS1, HAJ",NW5015,Hadfield to Ardwick Jn.,3,6,"D&U PL, DM, UM",multi-ELR duplication - needs diagram review
570,"AYS, HAJ",NW5015,Hadfield to Ardwick Jn.,4,4,"DG, DM, UAS, UM",multi-ELR duplication - needs diagram review
574,"GBN, GBS1, GBS2, SAJ",NW5021,Guide Bridge West Jn to Stalybridge,6,18,"DH, Down, For, NOTE, OF, UH",junk entries - parsing artifacts
575,"GBS1, GBS2, SAJ",NW5021,Guide Bridge West Jn to Stalybridge,1,2,NOTE,junk entries - parsing artifacts
601,"CMP2, COL",NW6001,Manchester Piccadilly East Jn. to Euxton Jn.,10,10,"DE, DF, DOX, DS, ES, Im, MG, UF, UOX, US",multi-ELR duplication - needs diagram review
604,"COL, DSE",NW6001,Manchester Piccadilly East Jn. to Euxton Jn.,4,4,"DB, DCM, UB, UCM",multi-ELR duplication - needs diagram review
605,"MVE1, OLW",NW6001,Manchester Piccadilly East Jn to Euxton Jn,3,3,"DB, U&DB, UB",multi-ELR duplication - needs diagram review
608,"BBB, MVE1, MVE2",NW6001,Manchester Piccadilly East Jn to Euxton Jn,8,16,"DB, DD, MU, P1, P2, P5, UB, UD",multi-ELR duplication - needs diagram review
612,"MAJ, TPS1, TPS2, TPS3",NW6003,Castlefield Jn to Allerton Jn,9,27,"CD, DC, DEP 1, DEP 2, ELRs, M.I.F.T, PL, TPS, UC",junk entries - parsing artifacts
613,"MAJ, TPS2",NW6003,Castlefield Jn. to Allerton Jn.,3,3,"DC, Ml, UC",multi-ELR duplication - needs diagram review
617,"AHX, MAJ",NW6003,Castlefield Jn to Allerton Jn,7,7,"DHC, DM, P1, P2, P3, UHC, UM",multi-ELR duplication - needs diagram review
621,"MVE1, MVM",NW6005,Manchester Victoria East Jn. to Windsor Bridge South Jn.,4,4,"DRF, DRS, URF, URS",multi-ELR duplication - needs diagram review
629,"WBS1, WBS2",NW6009,Windsor Bridge North Jn to Southport,6,6,"DA, DH, P1, P2, UA, UH",multi-ELR duplication - needs diagram review
631,"WBS2, WBS3",NW6009,Windsor Bridge North Jn to Southport,4,4,"DM, DPlat, UM, UPlat",multi-ELR duplication - needs diagram review
