id,signal_box_name,signal_prefix,workstation_name,signalling_method,eco_name,eco_type,elr,lor,mileage_from_raw,mileage_from_ch,mileage_to_raw,mileage_to_ch,source_doc,source_page,loaded_at
15886,Colchester SB,CO,,TCB,Romford,AC,ESK,EA1012,68m 72ch,5512,69m 41ch,5561,Anglia - March 2026 Sectional Appendix.pdf,143,2026-04-28T02:36:00.101107
15887,Colchester SB,CO,,TCB,Romford,AC,BFC,EA1012,70m 37ch,5637,79m 10ch,6330,Anglia - March 2026 Sectional Appendix.pdf,144,2026-04-28T02:36:00.232848
15888,Colchester SB,CO,,TCB,Romford,AC,BFC,EA1012,70m 37ch,5637,79m 10ch,6330,Anglia - March 2026 Sectional Appendix.pdf,145,2026-04-28T02:36:00.339839
15889,Colchester SB,CO,,TCB,Romford,AC,LTN1,EA1012,80m 15ch,6415,80m 54ch,6454,Anglia - March 2026 Sectional Appendix.pdf,146,2026-04-28T02:36:00.444530
15890,Colchester SB,CO,,TCB,Romford,AC,CCH,EA1012,80m 68ch,6468,84m 77ch,6797,Anglia - March 2026 Sectional Appendix.pdf,147,2026-04-28T02:36:00.499407
15891,Colchester SB,CO,,TCB,Romford,AC,LTN1,EA1012,85m 20ch,6820,94m 79ch,7599,Anglia - March 2026 Sectional Appendix.pdf,148,2026-04-28T02:36:00.607799
15892,Colchester SB,CO,,TCB,Romford,AC,LTN1,EA1012,97m 20ch,7780,101m 01ch,8081,Anglia - March 2026 Sectional Appendix.pdf,149,2026-04-28T02:36:00.715798
15893,Colchester SB,CO,,TCB,Romford,AC,LTN1,EA1012,101m 51ch,8131,112m 66ch,9026,Anglia - March 2026 Sectional Appendix.pdf,150,2026-04-28T02:36:00.852563
15894,Colchester SB,CO,,TCB,Romford,AC,LTN1,EA1013,113m 68ch,9108,123m 37ch,9877,Anglia - March 2026 Sectional Appendix.pdf,151,2026-04-28T02:36:00.886727
15895,Colchester SB,CO,,TCB,Romford,AC,THG,EA1013,123m 60ch,9900,124m 09ch,9929,Anglia - March 2026 Sectional Appendix.pdf,152,2026-04-28T02:36:00.987187
15896,Liverpool St IECC,L,,TCB,Romford,AC,CNS,EA1020,0m 70ch,70,1m 12ch,92,Anglia - March 2026 Sectional Appendix.pdf,153,2026-04-28T02:36:01.021996
15897,Liverpool St IECC,L,,TCB,Romford,AC,TAH3,EA1030,0m 00ch,0,0m 31ch,31,Anglia - March 2026 Sectional Appendix.pdf,154,2026-04-28T02:36:01.106096
15898,Liverpool St IECC,L,,TCB,Romford,AC,LTN1,EA1050,20m 16ch,1616,24m 13ch,1933,Anglia - March 2026 Sectional Appendix.pdf,156,2026-04-28T02:36:01.165545
15899,Liverpool St IECC,L,,TCB,Romford,AC,WIS,EA1050,29m 02ch,2322,29m 13ch,2333,Anglia - March 2026 Sectional Appendix.pdf,157,2026-04-28T02:36:01.228564
15900,Liverpool St IECC,L,,TCB,Romford,AC,SSV,EA1050,32m 79ch,2639,38m 54ch,3094,Anglia - March 2026 Sectional Appendix.pdf,158,2026-04-28T02:36:01.358121
15901,Liverpool St IECC,L,,TCB,Romford,AC,,EA1050,39m 44ch,3164,41m 42ch,3322,Anglia - March 2026 Sectional Appendix.pdf,159,2026-04-28T02:36:01.406237
15902,Liverpool St IECC,L,,TCB,Romford,AC,SSV,EA1060,29m 13ch,2333,34m 77ch,2797,Anglia - March 2026 Sectional Appendix.pdf,160,2026-04-28T02:36:01.541884
15903,Liverpool St IECC,L,,TCB,Romford,AC,WIS,EA1060,35m 32ch,2832,38m 20ch,3060,Anglia - March 2026 Sectional Appendix.pdf,161,2026-04-28T02:36:01.635273
15904,Liverpool St IECC,L,,TCB,Romford,AC,LTN1,EA1070,21m 10ch,1690,24m 15ch,1935,Anglia - March 2026 Sectional Appendix.pdf,163,2026-04-28T02:36:01.853455
15905,Liverpool St IECC,L,,TCB,Romford,AC,BRA,EA1070,17m 71ch,1431,20m 00ch,1600,Anglia - March 2026 Sectional Appendix.pdf,164,2026-04-28T02:36:01.965045
15906,Liverpool St IECC,L,,TCB,,,LTN1,EA1080,46m 53ch,3733,52m 61ch,4221,Anglia - March 2026 Sectional Appendix.pdf,165,2026-04-28T02:36:02.001474
