id,signal_box_name,signal_prefix,workstation_name,signalling_method,eco_name,eco_type,elr,lor,mileage_from_raw,mileage_from_ch,mileage_to_raw,mileage_to_ch,source_doc,source_page,loaded_at
16514,Guildford SB,GD,,TCB,Raynes Park,DC,LEJ,SW200,21m 04ch,1684,22m 16ch,1776,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",815,2026-04-28T02:38:00.819097
16515,Guildford SB,GD,,TCB,Raynes Park,DC,NGL,SW200,25m 26ch,2026,28m 47ch,2287,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",816,2026-04-28T02:38:00.880948
16516,Guildford SB,GD,,TCB,Raynes Park,DC,NGL,SW200,29m 70ch,2390,29m 70ch,2390,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",817,2026-04-28T02:38:00.895721
16517,Guildford SB,GD,,TCB,Raynes Park,DC,LEJ,SW205,19m 08ch,1528,22m 10ch,1770,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",818,2026-04-28T02:38:00.963822
16518,Wimbledon SB,W,,TCB,Raynes Park,DC,PPW,SW210,3m 74ch,314,5m 09ch,409,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",819,2026-04-28T02:38:01.033544
16519,"Wimbledon SB r,N)",,,TCB,Raynes Park,DC,HOU,SW210,5m 72ch,472,7m 26ch,586,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",820,2026-04-28T02:38:01.111076
16520,Wimbledon SB,W,,TCB,Raynes Park,DC,RDG1,SW210,7m 52ch,612,9m 57ch,777,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",821,2026-04-28T02:38:01.179744
16521,Basingstoke ROC,BEF,,TCB,,,HJW,SW210,11m 60ch,940,12m 63ch,1023,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",823,2026-04-28T02:38:01.317139
16522,C B Basings to k e R O C ( B E F ),,,T,,,RDG1,SW210,13m 35ch,1075,17m 40ch,1400,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",824,2026-04-28T02:38:01.393975
16523,Basingstoke ROC,BEF,,TCB,Raynes Park,DC,SWE,SW210,18m 20ch,1460,19m 02ch,1522,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",825,2026-04-28T02:38:01.456990
16524,Basingstoke ROC,BEF,,TCB,Raynes Park,DC,RDG1,SW210,19m 67ch,1587,22m 51ch,1811,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",826,2026-04-28T02:38:01.527296
16525,Basingstoke ROC,BEF,,TCB,,,RDG1,SW210,31m 09ch,2489,35m 73ch,2873,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",829,2026-04-28T02:38:01.730323
16526,Basingstok ROC,BEF,,TCB,Eastleigh,DC,RDG2,SW210,61m 69ch,4949,64m 72ch,5192,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",830,2026-04-28T02:38:01.804432
16527,Thames Valley Signalling Centre,T,,TCB,Eastleigh,DC,RLL,SW210,66m 01ch,5281,68m 25ch,5465,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",831,2026-04-28T02:38:01.878360
16528,Thames Valley Signalling,,,TCB,,,RDG2,SW210,68m 68ch,5508,68m 68ch,5508,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",832,2026-04-28T02:38:01.946655
16529,Three Bridges ROC Clapham W/S,TVC,,TCB,Lewisham U,DC,CKL,SW220,0m 47ch,47,2m 39ch,199,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",835,2026-04-28T02:38:02.061722
16530,Three Bridges ROC Clapham W/S,TVC,,TCB,Lewisham,DC,WLL,SW220,1m 37ch,117,3m 42ch,282,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",836,2026-04-28T02:38:02.134722
16531,Wimbledon SB,W,,TCB,,,PPW,SW225,5m 60ch,460,6m 03ch,483,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",837,2026-04-28T02:38:02.208499
16532,"Wimbledon SB r,N)",,,TCB,,,PPW,SW225,6m 57ch,537,7m 50ch,610,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",838,2026-04-28T02:38:02.273510
16533,Wimbledon SB,W,,TCB,Raynes Park,DC,HOU,SW230,7m 20ch,580,8m 75ch,715,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",839,2026-04-28T02:38:02.339111
16534,Basingstoke ROC,BEF,,TCB,Raynes Park,DC,BOK5,SW230,9m 34ch,754,10m 01ch,801,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",840,2026-04-28T02:38:02.410201
16535,Basingstoke ROC,BEF,,TCB,Raynes Park,DC,HOU,SW230,10m 52ch,852,13m 40ch,1080,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",841,2026-04-28T02:38:02.477473
16536,Basingstoke ROC,BEF,,TCB,Raynes Park,DC,HJW,SW230,14m 09ch,1129,14m 09ch,1129,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",842,2026-04-28T02:38:02.542962
16537,Basingstoke ROC,BEF,,TCB,,,SWE,SW250,21m 40ch,1720,21m 40ch,1720,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",845,2026-04-28T02:38:02.684270
16538,Basingstoke ROC,BEF,,TCB,,,SWE,SW250,22m 48ch,1808,23m 74ch,1914,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",846,2026-04-28T02:38:02.757820
16539,DC: Eastleigh,,,AB,,,,SW255,22m 25ch,1785,22m 25ch,1785,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",847,2026-04-28T02:38:02.823865
16540,Woking SB,WK,,TCB,Eastleigh,DC,AJB,SW255,20m 71ch,1671,20m 71ch,1671,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",848,2026-04-28T02:38:02.899659
16541,Woking ASC,WK,,TCB,Eastleigh,DC,,SW260,35m 26ch,2826,38m 36ch,3076,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",851,2026-04-28T02:38:03.124181
16542,Guildford SB,GD,,TCB,Eastleigh,DC,GTW2,SW265,34m 29ch,2749,34m 29ch,2749,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",852,2026-04-28T02:38:03.192056
16543,Guildford SB,GD,,TCB,Eastleigh,DC,NSA,SW265,49m 15ch,3935,50m 01ch,4001,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",853,2026-04-28T02:38:03.257304
16544,Basingstoke ROC,BEF,,TCB,,,GTW2,SW265,51m 18ch,4098,54m 00ch,4320,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",854,2026-04-28T02:38:03.323577
16545,C B Basignstoke ROC,BEF,,T,,,GTW2,SW265,55m 58ch,4458,58m 66ch,4706,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",855,2026-04-28T02:38:03.390240
16546,Reigate SB,RC,,,,,RSJ,SW300,34m 57ch,2777,37m 70ch,3030,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",856,2026-04-28T02:38:03.455107
16547,Guildford SB,GD,,,,,RSJ,SW300,39m 15ch,3135,41m 02ch,3282,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",857,2026-04-28T02:38:03.521571
16548,Three Bridges SB,T,,TCB,Brighton,DC,CJA2,SO500,36m 73ch,2953,37m 66ch,3026,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",858,2026-04-28T02:38:03.603496
16549,Three Bridges SB,T,,TCB,Selhurst,DC,BJN2,SO510,8m 54ch,694,8m 54ch,694,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",859,2026-04-28T02:38:03.695917
16550,Three Bridges SB,T,,TCB,Selhurst,DC,NFE,SO510,10m 35ch,835,10m 68ch,868,"Kent, Sussex & Wessex Sectional Appendix March 2026.pdf",860,2026-04-28T02:38:03.763145
16551,C B Y o r k R O C ( Y A ),,,T,York EC,AC,ECM1,LN101,0m 00ch,0,0m 46ch,46,London North Eastern (NCS) Sectional Appendix March 2026.pdf,203,2026-04-28T02:38:47.429201
16552,"York ROC (K, YA)",,,TCB,York EC,AC,ECM1,LN101,0m 57ch,57,1m 40ch,120,London North Eastern (NCS) Sectional Appendix March 2026.pdf,204,2026-04-28T02:38:47.548672
16553,York ROC,DE,,TCB,York EC,AC,ECM1,LN101,2m 33ch,193,2m 41ch,201,London North Eastern (NCS) Sectional Appendix March 2026.pdf,205,2026-04-28T02:38:47.666356
16554,York ROC,DE,,TCB,,,ECM1,LN101,3m 29ch,269,4m 04ch,324,London North Eastern (NCS) Sectional Appendix March 2026.pdf,206,2026-04-28T02:38:47.786197
16555,York ROC,DE,,TCB,York EC,AC,ECM1,LN101,4m 68ch,388,5m 38ch,438,London North Eastern (NCS) Sectional Appendix March 2026.pdf,207,2026-04-28T02:38:47.871859
16556,York ROC,DE,,TCB,York,AC,ECM1,LN101,37m 03ch,2963,47m 38ch,3798,London North Eastern (NCS) Sectional Appendix March 2026.pdf,213,2026-04-28T02:38:48.441241
16557,York ROC Huntingdon WS,,,TCB,,,ECM1,LN101,49m 72ch,3992,55m 76ch,4476,London North Eastern (NCS) Sectional Appendix March 2026.pdf,214,2026-04-28T02:38:48.524599
16558,York ROC Huntingdon WS,,,TCB,,,ECM1,LN101,58m 35ch,4675,70m 78ch,5678,London North Eastern (NCS) Sectional Appendix March 2026.pdf,215,2026-04-28T02:38:48.562903
16559,York ROC Peterborough WS,,,TCB,,,EMP,LN101,72m 00ch,5760,76m 25ch,6105,London North Eastern (NCS) Sectional Appendix March 2026.pdf,216,2026-04-28T02:38:48.651252
16560,York ROC Peterborough WS,,,TCB,,,EMP,LN101,7m 06ch,566,76m 60ch,6140,London North Eastern (NCS) Sectional Appendix March 2026.pdf,217,2026-04-28T02:38:48.757568
16561,York ROC Peterborough ws,,,TCB,,,PMJ,LN101,76m 71ch,6151,78m 63ch,6303,London North Eastern (NCS) Sectional Appendix March 2026.pdf,218,2026-04-28T02:38:48.852448
16562,C B York ROC Peterb o ro ug h w s In U,,,T,,,PMJ,LN101,79m 27ch,6347,82m 38ch,6598,London North Eastern (NCS) Sectional Appendix March 2026.pdf,219,2026-04-28T02:38:48.943349
16563,York ROC Peterborough WS,,,TCB,,,ECM1,LN101,83m 33ch,6673,92m 29ch,7389,London North Eastern (NCS) Sectional Appendix March 2026.pdf,220,2026-04-28T02:38:49.022538
16564,CB Yo rk R O C P et erb oro ug h W S,,,T,,,ECM1,LN101,99m 60ch,7980,100m 39ch,8039,London North Eastern (NCS) Sectional Appendix March 2026.pdf,221,2026-04-28T02:38:49.098321
16565,Doncaster SB,D,,TCB,,,ECM1,LN101,101m 46ch,8126,106m 34ch,8514,London North Eastern (NCS) Sectional Appendix March 2026.pdf,222,2026-04-28T02:38:49.187975
16566,Doncaster SB,D,,TCB,,,ECM1,LN101,107m 55ch,8615,115m 45ch,9245,London North Eastern (NCS) Sectional Appendix March 2026.pdf,223,2026-04-28T02:38:49.262633
16567,Doncaster SB,D,,TCB,,,ECM1,LN101,115m 46ch,9246,123m 38ch,9878,London North Eastern (NCS) Sectional Appendix March 2026.pdf,224,2026-04-28T02:38:49.351811
16568,Doncaster SB,D,,TCB,York,AC,ECM1,LN101,123m 40ch,9880,130m 29ch,10429,London North Eastern (NCS) Sectional Appendix March 2026.pdf,225,2026-04-28T02:38:49.432267
16569,Doncaster SB,D,,TCB,York,AC,ECM1,LN101,131m 50ch,10530,137m 37ch,10997,London North Eastern (NCS) Sectional Appendix March 2026.pdf,226,2026-04-28T02:38:49.506246
16570,Doncaster SB,D,,TCB,York,AC,ECM1,LN101,138m 23ch,11063,139m 71ch,11191,London North Eastern (NCS) Sectional Appendix March 2026.pdf,227,2026-04-28T02:38:49.586988
16571,Doncaster SB,D,,TCB,,,ECM1,LN101,140m 53ch,11253,148m 55ch,11895,London North Eastern (NCS) Sectional Appendix March 2026.pdf,228,2026-04-28T02:38:49.679951
16572,CB D on ca ste r S B,D,,T,,,ECM1,LN101,151m 28ch,12108,154m 13ch,12333,London North Eastern (NCS) Sectional Appendix March 2026.pdf,229,2026-04-28T02:38:49.790993
16573,C B Don ca s te r S B (D ),,,T,=DownCon is brou gh,DC,ECM1,LN101,154m 13ch,12333,155m 56ch,12456,London North Eastern (NCS) Sectional Appendix March 2026.pdf,230,2026-04-28T02:38:49.913622
16574,Doncaster SB,D,,TCB,,,ECM1,LN101,155m 65ch,12465,156m 09ch,12489,London North Eastern (NCS) Sectional Appendix March 2026.pdf,231,2026-04-28T02:38:50.002220
16575,C B U p m i n s t e r s e c (N L ):,,Finsbury Park workstation,T,Romford,AC,CFP,LN110,3m 12ch,252,4m 33ch,353,London North Eastern (NCS) Sectional Appendix March 2026.pdf,234,2026-04-28T02:38:50.302089
16576,"York ROC (K, YA)",,NLL Central Workstation,TCB,York EC,AC,CRF1,LN115,0m 00ch,0,0m 51ch,51,London North Eastern (NCS) Sectional Appendix March 2026.pdf,235,2026-04-28T02:38:50.377748
16577,"York ROC (K, WL)",,,TCB,York EC,AC,HOB,LN120,5m 55ch,455,9m 09ch,729,London North Eastern (NCS) Sectional Appendix March 2026.pdf,236,2026-04-28T02:38:50.451886
16578,York ROC,,,TCB,York,AC,HOB,LN120,9m 69ch,789,19m 48ch,1568,London North Eastern (NCS) Sectional Appendix March 2026.pdf,237,2026-04-28T02:38:50.543788
16579,York ROC,DE,,TCB,York,AC,SBR,LN125,39m 59ch,3179,44m 19ch,3539,London North Eastern (NCS) Sectional Appendix March 2026.pdf,242,2026-04-28T02:38:50.834990
16580,York ROC,DE,,TCB,York,AC,SBR,LN125,44m 70ch,3590,44m 70ch,3590,London North Eastern (NCS) Sectional Appendix March 2026.pdf,243,2026-04-28T02:38:50.908220
16581,C B Cambridge S B (C A ),,,T,Romford,AC,SBR,LN125,50m 74ch,4074,55m 26ch,4426,London North Eastern (NCS) Sectional Appendix March 2026.pdf,245,2026-04-28T02:38:51.010119
16582,Cambridge SB,CA,,TCB,Romford,AC,BGK,LN125,53m 03ch,4243,54m 04ch,4324,London North Eastern (NCS) Sectional Appendix March 2026.pdf,246,2026-04-28T02:38:51.092118
16583,Cambridge SB,CA,,,Romford,AC,BGK,LN125,55m 35ch,4435,55m 52ch,4452,London North Eastern (NCS) Sectional Appendix March 2026.pdf,247,2026-04-28T02:38:51.190616
16584,Kings Dyke SB,,,,,,EMP,LN135,96m 73ch,7753,100m 66ch,8066,London North Eastern (NCS) Sectional Appendix March 2026.pdf,251,2026-04-28T02:38:51.357572
16585,York ROC Peterborough WS,,,TCB,,,WDU,LN145,0m 00ch,0,1m 64ch,144,London North Eastern (NCS) Sectional Appendix March 2026.pdf,252,2026-04-28T02:38:51.434964
16586,York ROC Peterborough WS,,,TCB,,,ECM1,LN147,13m 60ch,1100,17m 24ch,1384,London North Eastern (NCS) Sectional Appendix March 2026.pdf,254,2026-04-28T02:38:51.528720
16587,Doncaster SB,D,,TCB,York,AC,SPD5,LN150,115m 72ch,9272,117m 46ch,9406,London North Eastern (NCS) Sectional Appendix March 2026.pdf,255,2026-04-28T02:38:51.621097
16588,Doncaster SB,D,,TCB,York,AC,LCJ,LN155,152m 36ch,12196,152m 79ch,12239,London North Eastern (NCS) Sectional Appendix March 2026.pdf,256,2026-04-28T02:38:51.694601
16589,C B Don c a s te r S B (D ),,,T,,,FWR1,LN160,152m 00ch,12160,153m 19ch,12259,London North Eastern (NCS) Sectional Appendix March 2026.pdf,257,2026-04-28T02:38:51.779202
16590,South Tottenham Station,,,TCB,York EC,AC,HPW,LN165,0m 03ch,3,0m 25ch,25,London North Eastern (NCS) Sectional Appendix March 2026.pdf,258,2026-04-28T02:38:51.851625
16591,York ROC Peterborough WS,,South workstation,TCB,,,WEB,LN170,79m 34ch,6354,84m 46ch,6766,London North Eastern (NCS) Sectional Appendix March 2026.pdf,259,2026-04-28T02:38:51.926787
16592,-Axle Counters,,,TCB,,,WEB,LN170,84m 79ch,6799,90m 66ch,7266,London North Eastern (NCS) Sectional Appendix March 2026.pdf,260,2026-04-28T02:38:52.005749
16593,-Axle Counters,,,TCB,,,SPD1,LN170,44m 13ch,3533,92m 58ch,7418,London North Eastern (NCS) Sectional Appendix March 2026.pdf,261,2026-04-28T02:38:52.090654
16594,-Axle Counters,,,TCB,,,SPD1,LN170,44m 19ch,3539,46m 66ch,3746,London North Eastern (NCS) Sectional Appendix March 2026.pdf,262,2026-04-28T02:38:52.170636
16595,C B - A x le C o un t e r s,,,T,,,SPD1,LN170,51m 47ch,4127,58m 04ch,4644,London North Eastern (NCS) Sectional Appendix March 2026.pdf,264,2026-04-28T02:38:52.340249
16596,-Including Axle Counter,,,TCB,,,SPD2,LN170,62m 12ch,4972,64m 20ch,5140,London North Eastern (NCS) Sectional Appendix March 2026.pdf,265,2026-04-28T02:38:52.373954
16597,-Axle Counter,,,TCB,,,SPD3,LN170,64m 68ch,5188,81m 25ch,6505,London North Eastern (NCS) Sectional Appendix March 2026.pdf,266,2026-04-28T02:38:52.467373
16598,Lincoln S.C.C. (City workstation),,,TCB,,,SPD3,LN170,82m 16ch,6576,82m 49ch,6609,London North Eastern (NCS) Sectional Appendix March 2026.pdf,267,2026-04-28T02:38:52.563615
16599,Lincoln SCC (City workstation),,,TCB,,,SPD3,LN170,82m 53ch,6613,83m 30ch,6670,London North Eastern (NCS) Sectional Appendix March 2026.pdf,268,2026-04-28T02:38:52.644512
16600,Lincoln S.C.C. (West workstation),,,TCB,,,SPD3,LN170,84m 13ch,6733,88m 40ch,7080,London North Eastern (NCS) Sectional Appendix March 2026.pdf,269,2026-04-28T02:38:52.726223
16601,including Axle Counters,,,TCB,,,SPD3,LN170,88m 51ch,7091,95m 35ch,7635,London North Eastern (NCS) Sectional Appendix March 2026.pdf,270,2026-04-28T02:38:52.805056
16602,including Axle Counters,,,TCB,,,SPD4,LN170,98m 09ch,7849,105m 59ch,8459,London North Eastern (NCS) Sectional Appendix March 2026.pdf,271,2026-04-28T02:38:52.856717
16603,Beckingham SB,B,,,,,SPD5,LN170,108m 13ch,8653,116m 20ch,9300,London North Eastern (NCS) Sectional Appendix March 2026.pdf,272,2026-04-28T02:38:52.938264
16604,Sleaford East SB,SE,,,,,SSE,LN175,0m 00ch,0,0m 43ch,43,London North Eastern (NCS) Sectional Appendix March 2026.pdf,273,2026-04-28T02:38:53.006268
16605,-Including Axle Counters,SW,,TCB,,,SNW,LN180,1m 34ch,114,1m 52ch,132,London North Eastern (NCS) Sectional Appendix March 2026.pdf,274,2026-04-28T02:38:53.030280
16606,Allington SB,AL,,,,,GRS1,LN185,0m 00ch,0,4m 08ch,328,London North Eastern (NCS) Sectional Appendix March 2026.pdf,275,2026-04-28T02:38:53.093508
16607,Ancaster SB,AR,,,,,GRS2,LN185,110m 32ch,8832,112m 00ch,8960,London North Eastern (NCS) Sectional Appendix March 2026.pdf,276,2026-04-28T02:38:53.165272
16608,Ancaster to Rauceby,AR,,AB,,,GRS2,LN185,112m 65ch,9025,117m 47ch,9407,London North Eastern (NCS) Sectional Appendix March 2026.pdf,277,2026-04-28T02:38:53.239520
16609,Rauceby SB,RY,,,,,GRS2,LN185,118m 31ch,9471,120m 33ch,9633,London North Eastern (NCS) Sectional Appendix March 2026.pdf,278,2026-04-28T02:38:53.317793
16610,Sleaford West SB,SW,,TCB,,,GRS2,LN185,120m 49ch,9649,121m 72ch,9752,London North Eastern (NCS) Sectional Appendix March 2026.pdf,279,2026-04-28T02:38:53.398647
16611,Sleaford East SB,SE,,TCB,,,GRS2,LN185,122m 51ch,9811,125m 24ch,10024,London North Eastern (NCS) Sectional Appendix March 2026.pdf,280,2026-04-28T02:38:53.469938
16612,Heckington SB,HN,,,,,GRS2,LN185,125m 53ch,10053,130m 25ch,10425,London North Eastern (NCS) Sectional Appendix March 2026.pdf,281,2026-04-28T02:38:53.540561
16613,Heckington SB,HN,,,,,GRS3,LN185,106m 75ch,8555,137m 06ch,10966,London North Eastern (NCS) Sectional Appendix March 2026.pdf,282,2026-04-28T02:38:53.622218
16614,West Street Jn SB,WS,,TCB,,,GRS,LN185,107m 24ch,8584,107m 41ch,8601,London North Eastern (NCS) Sectional Appendix March 2026.pdf,283,2026-04-28T02:38:53.687317
16615,West Street Jn SB,WS,,TCB,,,GRS,LN185,107m 69ch,8629,110m 15ch,8815,London North Eastern (NCS) Sectional Appendix March 2026.pdf,284,2026-04-28T02:38:53.726516
16616,West Street Jn SB,WS,,TCB,,,GRS3,LN185,110m 53ch,8853,112m 07ch,8967,London North Eastern (NCS) Sectional Appendix March 2026.pdf,285,2026-04-28T02:38:53.806292
16617,Sibsey SB,S,,,,,GRS3,LN185,112m 25ch,8985,114m 11ch,9131,London North Eastern (NCS) Sectional Appendix March 2026.pdf,286,2026-04-28T02:38:53.894250
16618,Sibsey SB,S,,,,,GRS3,LN185,116m 78ch,9358,120m 20ch,9620,London North Eastern (NCS) Sectional Appendix March 2026.pdf,287,2026-04-28T02:38:53.963696
16619,Bellwater Jn SB,BJ,,,,,GRS4,LN185,1m 46ch,126,122m 22ch,9782,London North Eastern (NCS) Sectional Appendix March 2026.pdf,288,2026-04-28T02:38:54.043898
16620,Thorpe Culvert SB,TC,,AB,,,GRS4,LN185,3m 06ch,246,4m 18ch,338,London North Eastern (NCS) Sectional Appendix March 2026.pdf,289,2026-04-28T02:38:54.121146
16621,Wainfleet SB,,,,,,GRS4,LN185,4m 56ch,376,6m 00ch,480,London North Eastern (NCS) Sectional Appendix March 2026.pdf,290,2026-04-28T02:38:54.188457
16622,Skegness SB,S,,AB,,,GRS4,LN185,7m 23ch,583,9m 17ch,737,London North Eastern (NCS) Sectional Appendix March 2026.pdf,291,2026-04-28T02:38:54.268662
16623,Allington SB,AL,,,,,ACD,LN190,0m 25ch,25,108m 34ch,8674,London North Eastern (NCS) Sectional Appendix March 2026.pdf,292,2026-04-28T02:38:54.342881
16624,Doncaster SB,D,,,,,NOG1,LN195,106m 08ch,8488,107m 26ch,8586,London North Eastern (NCS) Sectional Appendix March 2026.pdf,293,2026-04-28T02:38:54.417072
16625,Allington SB,AL,,,,,NOG1,LN195,108m 34ch,8674,108m 69ch,8709,London North Eastern (NCS) Sectional Appendix March 2026.pdf,294,2026-04-28T02:38:54.495845
16626,Doncaster SB,D,,,,,NOB1,LN206,17m 67ch,1427,22m 17ch,1777,London North Eastern (NCS) Sectional Appendix March 2026.pdf,296,2026-04-28T02:38:54.600454
16627,Swinderby SB,S,,,,,NOB1,LN206,22m 34ch,1794,24m 54ch,1974,London North Eastern (NCS) Sectional Appendix March 2026.pdf,297,2026-04-28T02:38:54.684518
16628,Swinderby SB,S,,,,,NOB1,LN206,24m 64ch,1984,29m 44ch,2364,London North Eastern (NCS) Sectional Appendix March 2026.pdf,298,2026-04-28T02:38:54.759576
16629,Lincoln SCC (West workstation),,,TCB,,,NOB2,LN206,30m 18ch,2418,32m 70ch,2630,London North Eastern (NCS) Sectional Appendix March 2026.pdf,299,2026-04-28T02:38:54.843025
16630,Lincoln S.C.C. (West workstation),,,TCB,,,NOB2,LN206,30m 18ch,2418,32m 70ch,2630,London North Eastern (NCS) Sectional Appendix March 2026.pdf,300,2026-04-28T02:38:54.915215
16631,Doncaster SB,D,,,,,NSE,LN210,0m 00ch,0,0m 21ch,21,London North Eastern (NCS) Sectional Appendix March 2026.pdf,301,2026-04-28T02:38:54.981415
16632,Lincoln SCC (West workstation),,,TCB,,,BHP,LN215,0m 00ch,0,0m 65ch,65,London North Eastern (NCS) Sectional Appendix March 2026.pdf,302,2026-04-28T02:38:55.043936
16633,Doncaster SB,D,,TCB,York,AC,BCB,LN220,115m 72ch,9272,116m 44ch,9324,London North Eastern (NCS) Sectional Appendix March 2026.pdf,303,2026-04-28T02:38:55.105701
16634,OTNS Doncaster SB,D,,,,,FWR1,LN235,151m 78ch,12158,153m 31ch,12271,London North Eastern (NCS) Sectional Appendix March 2026.pdf,304,2026-04-28T02:38:55.174526
16635,Doncaster SB,D,,TCB,York,AC,ECM2,LN600,160m 16ch,12816,169m 16ch,13536,London North Eastern (NCS) Sectional Appendix March 2026.pdf,335,2026-04-28T02:38:56.529068
16636,York ROC,,,TCB,York,AC,ECM4,LN600,171m 30ch,13710,184m 04ch,14724,London North Eastern (NCS) Sectional Appendix March 2026.pdf,336,2026-04-28T02:38:56.740181
16637,York ROC,,,TCB,York,AC,ECM4,LN600,185m 14ch,14814,188m 07ch,15047,London North Eastern (NCS) Sectional Appendix March 2026.pdf,337,2026-04-28T02:38:56.818255
16638,York ROC,DE,,TCB,York,AC,ECM5,LN600,0m 22ch,22,188m 40ch,15080,London North Eastern (NCS) Sectional Appendix March 2026.pdf,338,2026-04-28T02:38:56.915364
16639,York ROC,,,TCB,York,AC,ECM5,LN600,1m 50ch,130,3m 11ch,251,London North Eastern (NCS) Sectional Appendix March 2026.pdf,339,2026-04-28T02:38:56.984263
16640,York ROC,,,TCB,York,AC,ECM5,LN600,7m 01ch,561,16m 65ch,1345,London North Eastern (NCS) Sectional Appendix March 2026.pdf,340,2026-04-28T02:38:57.050688
16641,C B Y o rk R O C,,,T,York,AC,ECM5,LN600,19m 09ch,1529,22m 16ch,1776,London North Eastern (NCS) Sectional Appendix March 2026.pdf,341,2026-04-28T02:38:57.124336
16642,York ROC,,,TCB,York,AC,ECM5,LN600,28m 58ch,2298,33m 50ch,2690,London North Eastern (NCS) Sectional Appendix March 2026.pdf,342,2026-04-28T02:38:57.215246
16643,Tyneside ROC,T,,TCB,York EC,AC,ECM5,LN600,35m 05ch,2805,43m 61ch,3501,London North Eastern (NCS) Sectional Appendix March 2026.pdf,343,2026-04-28T02:38:57.293352
16644,Tyneside ROC,T,,TCB,York EC,AC,ECM5,LN600,43m 61ch,3501,44m 36ch,3556,London North Eastern (NCS) Sectional Appendix March 2026.pdf,344,2026-04-28T02:38:57.399083
16645,Tyneside ROC,T,,TCB,York EC,AC,ECM5,LN600,49m 36ch,3956,56m 73ch,4553,London North Eastern (NCS) Sectional Appendix March 2026.pdf,345,2026-04-28T02:38:57.488759
16646,Tyneside ROC,T,,TCB,York EC,AC,ECM5,LN600,58m 68ch,4708,65m 20ch,5220,London North Eastern (NCS) Sectional Appendix March 2026.pdf,346,2026-04-28T02:38:57.561371
16647,Tyneside SB,T,,TCB,York EC,AC,ECM5,LN600,65m 74ch,5274,72m 04ch,5764,London North Eastern (NCS) Sectional Appendix March 2026.pdf,347,2026-04-28T02:38:57.645418
16648,Tyneside ROC,T,,TCB,York EC,AC,ECM5,LN600,72m 19ch,5779,77m 37ch,6197,London North Eastern (NCS) Sectional Appendix March 2026.pdf,348,2026-04-28T02:38:57.742396
16649,Tyneside ROC,T,,TCB,York EC,AC,ECM5,LN600,79m 26ch,6346,79m 57ch,6377,London North Eastern (NCS) Sectional Appendix March 2026.pdf,349,2026-04-28T02:38:57.831732
16650,Tyneside ROC,T,,TCB,York EC,AC,ECM7,LN600,0m 14ch,14,80m 16ch,6416,London North Eastern (NCS) Sectional Appendix March 2026.pdf,350,2026-04-28T02:38:57.929304
16651,Tyneside ROC,T,,TCB,York EC,AC,ECM7,LN600,0m 24ch,24,0m 70ch,70,London North Eastern (NCS) Sectional Appendix March 2026.pdf,351,2026-04-28T02:38:58.000907
16652,Tyneside ROC,T,,TCB,York EC,AC,ECM7,LN600,1m 07ch,87,1m 59ch,139,London North Eastern (NCS) Sectional Appendix March 2026.pdf,352,2026-04-28T02:38:58.071653
16653,Tyneside ROC,T,,TCB,York EC,AC,ECM7,LN600,2m 18ch,178,4m 24ch,344,London North Eastern (NCS) Sectional Appendix March 2026.pdf,353,2026-04-28T02:38:58.177851
